A.qt, A.q, A.pt, A.p, B.qt, B.q, B.pt, B.p, C.qt, C.q, C.pt, C.p
0, 0.000000000, 1, -0.449498005, 0, 0.000000000, 1, 0.051042929, 0, 0.000000000, 1, 1.128077925
2, -0.008989960, 1, -0.449498005, 2, 0.001020859, 1, 0.051042929, 2, 0.022561558, 1, 1.128077925
4, -0.017976315, 3, -0.449317745, 2, 0.001020859, 3, 0.071018454, 2, 0.022561558, 3, 1.127626510
6, -0.026955435, 5, -0.448956014, 4, 0.002441228, 5, 0.090953394, 4, 0.045114088, 5, 1.126723351
8, -0.035923658, 7, -0.448411131, 6, 0.004260296, 7, 0.110831656, 6, 0.067648555, 7, 1.125368083
10, -0.044877277, 9, -0.447680949, 8, 0.006476929, 9, 0.130637176, 8, 0.090155917, 9, 1.123560311
12, -0.053812534, 11, -0.446762854, 10, 0.009089673, 11, 0.150353928, 10, 0.112627123, 11, 1.121299610
14, -0.062725609, 13, -0.445653772, 12, 0.012096752, 13, 0.169965941, 12, 0.135053115, 13, 1.118585529
16, -0.071612612, 15, -0.444350169, 14, 0.015496071, 15, 0.189457309, 14, 0.157424826, 15, 1.115417592
18, -0.080469573, 17, -0.442848060, 16, 0.019285217, 17, 0.208812203, 16, 0.179733178, 17, 1.111795307
20, -0.089292433, 19, -0.441143013, 18, 0.023461461, 19, 0.228014888, 18, 0.201969084, 19, 1.107718167
22, -0.098077036, 21, -0.439230155, 20, 0.028021759, 21, 0.247049734, 20, 0.224123447, 21, 1.103185655
24, -0.106819120, 23, -0.437104183, 22, 0.032962754, 23, 0.265901231, 22, 0.246187160, 23, 1.098197254
26, -0.115514307, 25, -0.434759369, 24, 0.038280779, 25, 0.284554006, 24, 0.268151105, 25, 1.092752450
28, -0.124158098, 27, -0.432189574, 26, 0.043971859, 27, 0.302992837, 26, 0.290006154, 27, 1.086850739
30, -0.132745863, 29, -0.429388255, 28, 0.050031716, 29, 0.321202669, 28, 0.311743169, 29, 1.080491639
32, -0.141272833, 31, -0.426348482, 30, 0.056455769, 31, 0.339168632, 30, 0.333353002, 31, 1.073674694
34, -0.149734092, 33, -0.423062947, 32, 0.063239142, 33, 0.356876060, 32, 0.354826496, 33, 1.066399485
36, -0.158124572, 35, -0.419523983, 34, 0.070376663, 35, 0.374310506, 34, 0.376154486, 35, 1.058665640
38, -0.166439044, 37, -0.415723577, 36, 0.077862873, 37, 0.391457766, 36, 0.397327799, 37, 1.050472843
40, -0.174672112, 39, -0.411653389, 38, 0.085692028, 39, 0.408303896, 38, 0.418337256, 39, 1.041820848
42, -0.182818207, 41, -0.407304772, 40, 0.093858106, 41, 0.424835233, 40, 0.439173673, 41, 1.032709487
44, -0.190871583, 43, -0.402668790, 42, 0.102354811, 43, 0.441038420, 42, 0.459827863, 43, 1.023138683
46, -0.198826308, 45, -0.397736243, 44, 0.111175579, 45, 0.456900425, 44, 0.480290637, 45, 1.013108465
48, -0.206676262, 47, -0.392497689, 46, 0.120313587, 47, 0.472408567, 46, 0.500552806, 47, 1.002618979
50, -0.214415131, 49, -0.386943470, 48, 0.129761758, 49, 0.487550541, 48, 0.520605186, 49, 0.991670502
52, -0.222036406, 51, -0.381063739, 50, 0.139512769, 51, 0.502314443, 50, 0.540438596, 51, 0.980263457
54, -0.229533376, 53, -0.374848488, 52, 0.149559058, 53, 0.516688794, 52, 0.560043865, 53, 0.968398429
56, -0.236899128, 55, -0.368287581, 54, 0.159892834, 55, 0.530662569, 54, 0.579411834, 55, 0.956076177
58, -0.244126544, 57, -0.361370783, 56, 0.170506085, 57, 0.544225227, 56, 0.598533358, 57, 0.943297655
60, -0.251208300, 59, -0.354087796, 58, 0.181390590, 59, 0.557366735, 58, 0.617399311, 59, 0.930064024
62, -0.258136866, 61, -0.346428295, 60, 0.192537925, 61, 0.570077599, 60, 0.636000591, 61, 0.916376670
64, -0.264904505, 63, -0.338381966, 62, 0.203939477, 63, 0.582348897, 62, 0.654328124, 63, 0.902237222
66, -0.271503276, 65, -0.329938544, 64, 0.215586455, 65, 0.594172303, 64, 0.672372868, 65, 0.887647568
68, -0.277925033, 67, -0.321087856, 66, 0.227469901, 67, 0.605540122, 66, 0.690125819, 67, 0.872609875
70, -0.284161430, 69, -0.311819863, 68, 0.239580703, 69, 0.616445320, 68, 0.707578017, 69, 0.857126605
72, -0.290203924, 71, -0.302124704, 70, 0.251909609, 71, 0.626881553, 70, 0.724720549, 71, 0.841200534
74, -0.296043779, 73, -0.291992744, 72, 0.264447240, 73, 0.636843199, 72, 0.741544560, 73, 0.824834770
76, -0.301672071, 75, -0.281414622, 74, 0.277184104, 75, 0.646325390, 74, 0.758041255, 75, 0.808032772
78, -0.307079697, 77, -0.270381297, 76, 0.290110612, 77, 0.655324040, 76, 0.774201910, 77, 0.790798368
80, -0.312257379, 79, -0.258884103, 78, 0.303217093, 79, 0.663835874, 78, 0.790017877, 79, 0.773135774
82, -0.317195675, 81, -0.246914797, 80, 0.316493810, 81, 0.671858460, 80, 0.805480592, 81, 0.755049612
84, -0.321884987, 83, -0.234465615, 82, 0.329930979, 83, 0.679390234, 82, 0.820581584, 83, 0.736544927
86, -0.326315573, 85, -0.221529323, 84, 0.343518784, 85, 0.686430528, 84, 0.835312483, 85, 0.717627207
88, -0.330477558, 87, -0.208099274, 86, 0.357247395, 87, 0.692979594, 86, 0.849665027, 87, 0.698302399
90, -0.334360947, 89, -0.194169462, 88, 0.371106987, 89, 0.699038628, 88, 0.863631075, 89, 0.678576927
92, -0.337955639, 91, -0.179734578, 90, 0.385087760, 91, 0.704609792, 90, 0.877202614, 91, 0.658457709
94, -0.341251440, 93, -0.164790066, 92, 0.399179956, 93, 0.709696231, 92, 0.890371768, 93, 0.637952171
96, -0.344238084, 95, -0.149332176, 94, 0.413373881, 95, 0.714302091, 94, 0.903130811, 95, 0.617068266
98, -0.346905244, 97, -0.133358024, 96, 0.427659923, 97, 0.718432532, 96, 0.915472176, 97, 0.595814486
100, -0.349242557, 99, -0.116865644, 98, 0.442028574, 99, 0.722093739, 98, 0.927388466, 99, 0.574199876
102, -0.351239638, 101, -0.099854042, 100, 0.456470449, 101, 0.725292928, 100, 0.938872464, 101, 0.552234049
104, -0.352886103, 103, -0.082323250, 102, 0.470976308, 103, 0.728038351, 102, 0.949917145, 103, 0.529927195
106, -0.354171591, 105, -0.064274377, 104, 0.485537075, 105, 0.730339292, 104, 0.960515689, 105, 0.507290095
108, -0.355085784, 107, -0.045709660, 106, 0.500143861, 107, 0.732206064, 106, 0.970661491, 107, 0.484334130
110, -0.355618434, 109, -0.026632513, 108, 0.514787982, 109, 0.733650000, 108, 0.980348174, 109, 0.461071289
112, -0.355759385, 111, -0.007047572, 110, 0.529460982, 111, 0.734683436, 110, 0.989569600, 111, 0.437514175
114, -0.355498600, 113, 0.013039261, 112, 0.544154651, 113, 0.735319694, 112, 0.998319884, 113, 0.413676015
116, -0.354826184, 115, 0.033620777, 114, 0.558861045, 115, 0.735573053, 114, 1.006593404, 115, 0.389570661
118, -0.353732416, 117, 0.054688418, 116, 0.573572506, 117, 0.735458723, 116, 1.014384817, 117, 0.365212594
120, -0.352207771, 119, 0.076232247, 118, 0.588281680, 119, 0.734992805, 118, 1.021689069, 119, 0.340616927
122, -0.350242953, 121, 0.098240911, 120, 0.602981536, 121, 0.734192250, 120, 1.028501408, 121, 0.315799403
124, -0.347828921, 123, 0.120701615, 122, 0.617665381, 123, 0.733074811, 122, 1.034817396, 123, 0.290776396
126, -0.344956919, 125, 0.143600096, 124, 0.632326877, 125, 0.731658988, 124, 1.040632924, 125, 0.265564906
128, -0.341618507, 127, 0.166920602, 126, 0.646960057, 127, 0.729963969, 126, 1.045944222, 127, 0.240182555
130, -0.337805590, 129, 0.190645874, 128, 0.661559336, 129, 0.728009562, 128, 1.050747873, 129, 0.214647579
132, -0.333510447, 131, 0.214757133, 130, 0.676119527, 131, 0.725816122, 130, 1.055040825, 131, 0.188978823
134, -0.328725766, 133, 0.239234071, 132, 0.690635849, 133, 0.723404474, 132, 1.058820401, 133, 0.163195730
136, -0.323444669, 135, 0.264054845, 134, 0.705103938, 135, 0.720795826, 134, 1.062084316, 135, 0.137318327
138, -0.317660747, 137, 0.289196078, 136, 0.719519855, 137, 0.718011680, 136, 1.064830683, 137, 0.111367216
140, -0.311368090, 139, 0.314632860, 138, 0.733880089, 139, 0.715073737, 138, 1.067058027, 139, 0.085363558
142, -0.304561315, 141, 0.340338757, 140, 0.748181564, 141, 0.712003792, 140, 1.068765298, 141, 0.059329055
144, -0.297235599, 143, 0.366285822, 142, 0.762421640, 143, 0.708823632, 142, 1.069951879, 143, 0.033285935
146, -0.289386707, 145, 0.392444609, 144, 0.776598113, 145, 0.705554923, 144, 1.070617598, 145, 0.007256931
148, -0.281011023, 147, 0.418784196, 146, 0.790709211, 147, 0.702219095, 146, 1.070762737, 147, -0.018734738
150, -0.272105579, 149, 0.445272203, 148, 0.804753593, 149, 0.698837224, 148, 1.070388042, 149, -0.044665391
152, -0.262668083, 151, 0.471874823, 150, 0.818730337, 151, 0.695429908, 150, 1.069494734, 151, -0.070510908
154, -0.252696946, 153, 0.498556850, 152, 0.832638935, 153, 0.692017145, 152, 1.068084516, 153, -0.096246752
156, -0.242191312, 155, 0.525281713, 154, 0.846479278, 155, 0.688618203, 154, 1.066159581, 155, -0.121847998
158, -0.231151082, 157, 0.552011513, 156, 0.860251642, 157, 0.685251493, 156, 1.063722621, 157, -0.147289360
160, -0.219576941, 159, 0.578707060, 158, 0.873956672, 159, 0.681934441, 158, 1.060776834, 159, -0.172545217
162, -0.207470383, 161, 0.605327917, 160, 0.887595361, 161, 0.678683355, 160, 1.057325930, 161, -0.197589645
