A.qt, A.q, A.pt, A.p, B.qt, B.q, B.pt, B.p, C.qt, C.q, C.pt, C.p
0, 0.000000000, 1, -0.244516893, 0, 0.000000000, 1, 0.166188163, 0, 0.000000000, 1, -1.052961144
2, -0.004890338, 1, -0.244516893, 2, 0.003323763, 1, 0.166188163, 2, -0.021059223, 1, -1.052961144
2, -0.004890338, 3, -0.244420485, 2, 0.003323763, 3, 0.166123746, 4, -0.042110029, 3, -1.052540285
4, -0.009778748, 5, -0.244230499, 4, 0.006646238, 5, 0.165999044, 6, -0.063144017, 5, -1.051699384
6, -0.014663358, 7, -0.243949789, 6, 0.009966219, 7, 0.165818195, 8, -0.084152806, 7, -1.050439426
8, -0.019542354, 9, -0.243581228, 8, 0.013282583, 9, 0.165585333, 10, -0.105128037, 9, -1.048761561
10, -0.024413979, 11, -0.243127704, 10, 0.016594290, 11, 0.165304581, 12, -0.126061379, 11, -1.046667103
12, -0.029276533, 13, -0.242592115, 12, 0.019900382, 13, 0.164980045, 14, -0.146944530, 13, -1.044157528
14, -0.034128375, 15, -0.241977362, 14, 0.023199983, 15, 0.164615804, 16, -0.167769219, 15, -1.041234473
16, -0.038967922, 17, -0.241286348, 16, 0.026492299, 17, 0.164215906, 18, -0.188527214, 17, -1.037899736
18, -0.043793649, 19, -0.240521972, 18, 0.029776617, 19, 0.163784357, 20, -0.209210319, 19, -1.034155272
20, -0.048604088, 21, -0.239687126, 20, 0.033052304, 21, 0.163325119, 22, -0.229810383, 21, -1.030003195
22, -0.053397831, 23, -0.238784689, 22, 0.036318806, 23, 0.162842099, 24, -0.250319298, 23, -1.025445774
24, -0.058173525, 25, -0.237817527, 24, 0.039575648, 25, 0.162339147, 26, -0.270729007, 25, -1.020485433
26, -0.062929876, 27, -0.236788487, 26, 0.042822431, 27, 0.161820046, 28, -0.291031502, 27, -1.015124749
28, -0.067665646, 29, -0.235700395, 28, 0.046058832, 29, 0.161288508, 30, -0.311218831, 29, -1.009366451
30, -0.072379654, 31, -0.234556052, 30, 0.049284602, 31, 0.160748170, 32, -0.331283099, 31, -1.003213418
32, -0.077070775, 33, -0.233358232, 32, 0.052499565, 33, 0.160202587, 34, -0.351216473, 33, -0.996668680
34, -0.081737940, 35, -0.232109681, 34, 0.055703617, 35, 0.159655226, 36, -0.371011181, 35, -0.989735413
36, -0.086380134, 37, -0.230813112, 36, 0.058896722, 37, 0.159109462, 38, -0.390659520, 37, -0.982416940
38, -0.090996396, 39, -0.229471205, 38, 0.062078911, 39, 0.158568575, 40, -0.410153855, 39, -0.974716729
40, -0.095585820, 41, -0.228086602, 40, 0.065250283, 41, 0.158035744, 42, -0.429486623, 41, -0.966638392
42, -0.100147552, 43, -0.226661909, 42, 0.068410998, 43, 0.157514042, 44, -0.448650337, 43, -0.958185683
44, -0.104680790, 45, -0.225199692, 44, 0.071561279, 45, 0.157006434, 46, -0.467637587, 45, -0.949362498
46, -0.109184784, 47, -0.223702474, 46, 0.074701408, 47, 0.156515773, 48, -0.486441044, 47, -0.940172871
48, -0.113658833, 49, -0.222172738, 48, 0.077831723, 49, 0.156044796, 50, -0.505053464, 49, -0.930620975
50, -0.118102288, 51, -0.220612921, 50, 0.080952619, 51, 0.155596120, 52, -0.523467686, 51, -0.920711120
52, -0.122514546, 53, -0.219025416, 52, 0.084064541, 53, 0.155172241, 54, -0.541676641, 53, -0.910447749
54, -0.126895054, 55, -0.217412569, 54, 0.087167986, 55, 0.154775531, 56, -0.559673350, 55, -0.899835440
56, -0.131243305, 57, -0.215776678, 56, 0.090263497, 57, 0.154408233, 58, -0.577450928, 57, -0.888878903
58, -0.135558839, 59, -0.214119995, 58, 0.093351662, 59, 0.154072462, 60, -0.595002588, 59, -0.877582977
60, -0.139841239, 61, -0.212444721, 60, 0.096433111, 61, 0.153770202, 62, -0.612321641, 61, -0.865952632
62, -0.144090133, 63, -0.210753007, 62, 0.099508515, 63, 0.153503302, 64, -0.629401500, 63, -0.853992963
64, -0.148305193, 65, -0.209046955, 64, 0.102578581, 65, 0.153273477, 66, -0.646235684, 65, -0.841709192
66, -0.152486132, 67, -0.207328615, 66, 0.105644051, 67, 0.153082307, 68, -0.662817817, 67, -0.829106663
68, -0.156632704, 69, -0.205599984, 68, 0.108705697, 69, 0.152931233, 70, -0.679141634, 69, -0.816190844
70, -0.160744704, 71, -0.203863008, 70, 0.111764322, 71, 0.152821558, 72, -0.695200980, 71, -0.802967322
72, -0.164821964, 73, -0.202119579, 72, 0.114820753, 73, 0.152754446, 74, -0.710989816, 73, -0.789441802
74, -0.168864356, 75, -0.200371536, 74, 0.117875842, 75, 0.152730921, 76, -0.726502218, 75, -0.775620106
76, -0.172871787, 77, -0.198620663, 76, 0.120930460, 77, 0.152751867, 78, -0.741732381, 77, -0.761508171
78, -0.176844200, 79, -0.196868690, 78, 0.123985497, 79, 0.152818028, 80, -0.756674622, 79, -0.747112046
80, -0.180781574, 81, -0.195117291, 80, 0.127041858, 81, 0.152930008, 82, -0.771323380, 81, -0.732437890
82, -0.184683920, 83, -0.193368083, 82, 0.130100458, 83, 0.153088270, 84, -0.785673219, 83, -0.717491972
84, -0.188551282, 85, -0.191622629, 84, 0.133162223, 85, 0.153293137, 86, -0.799718832, 85, -0.702280666
86, -0.192383735, 87, -0.189882432, 86, 0.136228086, 87, 0.153544793, 88, -0.813455041, 87, -0.686810451
88, -0.196181384, 89, -0.188148939, 88, 0.139298982, 89, 0.153843284, 90, -0.826876799, 89, -0.671087908
90, -0.199944363, 91, -0.186423536, 90, 0.142375848, 91, 0.154188517, 92, -0.839979193, 91, -0.655119717
92, -0.203672834, 93, -0.184707552, 92, 0.145459618, 93, 0.154580263, 94, -0.852757446, 93, -0.638912657
94, -0.207366985, 95, -0.183002254, 94, 0.148551223, 95, 0.155018156, 96, -0.865206918, 95, -0.622473600
96, -0.211027030, 97, -0.181308849, 96, 0.151651586, 97, 0.155501697, 98, -0.877323108, 97, -0.605809513
98, -0.214653207, 99, -0.179628480, 98, 0.154761620, 99, 0.156030253, 100, -0.889101657, 99, -0.588927452
100, -0.218245777, 101, -0.177962228, 100, 0.157882225, 101, 0.156603060, 102, -0.900538348, 101, -0.571834561
102, -0.221805022, 103, -0.176311110, 102, 0.161014286, 103, 0.157219223, 104, -0.911629109, 103, -0.554538070
104, -0.225331244, 105, -0.174676077, 104, 0.164158670, 105, 0.157877720, 106, -0.922370015, 105, -0.537045289
106, -0.228824766, 107, -0.173058013, 106, 0.167316224, 107, 0.158577401, 108, -0.932757287, 107, -0.519363611
108, -0.232285926, 109, -0.171457736, 108, 0.170487772, 109, 0.159316994, 110, -0.942787297, 109, -0.501500503
110, -0.235715081, 111, -0.169875993, 110, 0.173674112, 111, 0.160095103, 112, -0.952456567, 111, -0.483463509
112, -0.239112601, 113, -0.168313462, 112, 0.176876014, 113, 0.160910213, 114, -0.961761772, 113, -0.465260243
114, -0.242478870, 115, -0.166770748, 114, 0.180094218, 115, 0.161760690, 116, -0.970699740, 115, -0.446898388
116, -0.245814285, 117, -0.165248384, 116, 0.183329432, 117, 0.162644786, 118, -0.979267454, 117, -0.428385693
118, -0.249119253, 119, -0.163746827, 118, 0.186582328, 119, 0.163560639, 120, -0.987462053, 119, -0.409729969
120, -0.252394190, 121, -0.162266459, 120, 0.189853541, 121, 0.164506278, 122, -0.995280835, 121, -0.390939087
122, -0.255639519, 123, -0.160807582, 122, 0.193143667, 123, 0.165479622, 124, -1.002721254, 123, -0.372020973
124, -0.258855671, 125, -0.159370421, 124, 0.196453259, 125, 0.166478487, 126, -1.009780926, 125, -0.352983609
