A.qt, A.q, A.pt, A.p, B.qt, B.q, B.pt, B.p, C.qt, C.q, C.pt, C.p
0, 0.000000000, 1, -0.535713409, 0, 1.000000000, 1, 0.233257824, 0, 0.000000000, 1, 0.832459829
2, -0.010714268, 1, -0.535713409, 2, 1.004665156, 1, 0.233257824, 2, 0.016649197, 1, 0.832459829
4, -0.021413234, 3, -0.534948297, 2, 1.004665156, 3, 0.233158647, 2, 0.016649197, 3, 0.831911560
6, -0.032081470, 5, -0.533411781, 4, 1.009328329, 5, 0.232948569, 4, 0.033287428, 5, 0.830813552
8, -0.042703438, 7, -0.531098413, 6, 1.013987300, 7, 0.232615931, 6, 0.049903699, 7, 0.829164874
10, -0.053263510, 9, -0.528003614, 8, 1.018639619, 9, 0.232149203, 8, 0.066486996, 9, 0.826965146
12, -0.063745984, 11, -0.524123704, 10, 1.023282603, 11, 0.231537044, 10, 0.083026299, 11, 0.824214548
14, -0.074135103, 13, -0.519455931, 12, 1.027913344, 13, 0.230768370, 12, 0.099510590, 13, 0.820913829
16, -0.084415073, 15, -0.513998500, 14, 1.032528711, 15, 0.229832412, 14, 0.115928867, 15, 0.817064319
18, -0.094570085, 17, -0.507750598, 16, 1.037125359, 17, 0.228718784, 16, 0.132270153, 17, 0.812667936
20, -0.104584334, 19, -0.500712426, 18, 1.041699735, 19, 0.227417543, 18, 0.148523512, 19, 0.807727193
22, -0.114442038, 21, -0.492885224, 20, 1.046248086, 21, 0.225919252, 20, 0.164678056, 21, 0.802245209
24, -0.124127464, 23, -0.484271298, 22, 1.050766471, 23, 0.224215039, 22, 0.180722960, 23, 0.796225713
26, -0.133624945, 25, -0.474874048, 24, 1.055250772, 25, 0.222296658, 24, 0.196647474, 25, 0.789673051
28, -0.142918905, 27, -0.464697988, 26, 1.059696705, 27, 0.220156545, 26, 0.212440935, 27, 0.782592194
30, -0.151993880, 29, -0.453748774, 28, 1.064099836, 29, 0.217787871, 28, 0.228092779, 29, 0.774988739
32, -0.160834544, 31, -0.442033224, 30, 1.068455593, 31, 0.215184595, 30, 0.243592554, 31, 0.766868914
34, -0.169425731, 33, -0.429559335, 32, 1.072759285, 33, 0.212341514, 32, 0.258929932, 33, 0.758239580
36, -0.177752457, 35, -0.416336305, 34, 1.077006115, 35, 0.209254307, 34, 0.274094724, 35, 0.749108235
38, -0.185799948, 37, -0.402374547, 36, 1.081191201, 37, 0.205919575, 36, 0.289076889, 37, 0.739483009
40, -0.193553662, 39, -0.387685699, 38, 1.085309593, 39, 0.202334882, 38, 0.303866549, 39, 0.729372669
42, -0.200999315, 41, -0.372282637, 40, 1.089356291, 41, 0.198498786, 40, 0.318454002, 41, 0.718786611
44, -0.208122905, 43, -0.356179481, 42, 1.093326267, 43, 0.194410866, 42, 0.332829734, 43, 0.707734860
46, -0.214910737, 45, -0.339391598, 44, 1.097214484, 45, 0.190071748, 44, 0.346984431, 45, 0.696228062
48, -0.221349449, 47, -0.321935601, 46, 1.101015919, 47, 0.185483121, 46, 0.360908992, 47, 0.684277479
50, -0.227426036, 49, -0.303829349, 48, 1.104725581, 49, 0.180647750, 48, 0.374594542, 49, 0.671894980
52, -0.233127875, 51, -0.285091934, 50, 1.108338536, 51, 0.175569483, 50, 0.388032442, 51, 0.659093030
54, -0.238442748, 53, -0.265743673, 52, 1.111849926, 53, 0.170253250, 52, 0.401214303, 53, 0.645884680
56, -0.243358870, 55, -0.245806091, 54, 1.115254991, 55, 0.164705060, 54, 0.414131997, 55, 0.632283551
58, -0.247864908, 57, -0.225301899, 56, 1.118549092, 57, 0.158931987, 56, 0.426777668, 57, 0.618303821
60, -0.251950007, 59, -0.204254972, 58, 1.121727732, 59, 0.152942154, 58, 0.439143744, 59, 0.603960207
62, -0.255603813, 61, -0.182690317, 60, 1.124786575, 61, 0.146744708, 60, 0.451222948, 61, 0.589267948
64, -0.258816494, 63, -0.160634040, 62, 1.127721469, 63, 0.140349789, 62, 0.463008307, 63, 0.574242784
66, -0.261578760, 65, -0.138113310, 64, 1.130528465, 65, 0.133768495, 64, 0.474493163, 65, 0.558900932
68, -0.263881886, 67, -0.115156314, 66, 1.133203835, 67, 0.127012839, 66, 0.485671182, 67, 0.543259067
70, -0.265717730, 69, -0.091792209, 68, 1.135744092, 69, 0.120095698, 68, 0.496536363, 69, 0.527334294
72, -0.267078751, 71, -0.068051074, 70, 1.138146006, 71, 0.113030762, 70, 0.507083049, 71, 0.511144122
74, -0.267958028, 73, -0.043963853, 72, 1.140406621, 73, 0.105832473, 72, 0.517305931, 73, 0.494706436
76, -0.268349274, 75, -0.019562295, 74, 1.142523270, 75, 0.098515960, 74, 0.527200060, 75, 0.478039469
78, -0.268246852, 77, 0.005121107, 76, 1.144493589, 77, 0.091096970, 76, 0.536760849, 77, 0.461161772
80, -0.267645788, 79, 0.030053183, 78, 1.146315528, 79, 0.083591795, 78, 0.545984084, 79, 0.444092180
82, -0.266541785, 81, 0.055200154, 80, 1.147987364, 81, 0.076017192, 80, 0.554865928, 81, 0.426849782
84, -0.264931231, 83, 0.080527705, 82, 1.149507708, 83, 0.068390305, 82, 0.563402924, 83, 0.409453887
86, -0.262811210, 85, 0.106001059, 84, 1.150875514, 85, 0.060728577, 84, 0.571592002, 85, 0.391923990
