A.qt, A.q, A.pt, A.p, B.qt, B.q, B.pt, B.p, C.qt, C.q, C.pt, C.p
0, 1.000000000, 1, 0.717208675, 0, 1.000000000, 1, -0.174100293, 0, 1.000000000, 1, -0.341128532
2, 1.014344174, 1, 0.717208675, 2, 0.996517994, 1, -0.174100293, 2, 0.993177429, 1, -0.341128532
4, 1.028675580, 3, 0.716570324, 2, 0.996517994, 3, -0.174388408, 2, 0.993177429, 3, -0.340775836
6, 1.042981557, 5, 0.715298831, 4, 0.993030226, 5, -0.174972049, 4, 0.986361912, 5, -0.340072955
8, 1.057249560, 7, 0.713400155, 6, 0.989530785, 7, -0.175857835, 6, 0.979560453, 7, -0.339022917
10, 1.071467180, 9, 0.710881006, 8, 0.986013628, 9, -0.177051543, 8, 0.972779995, 9, -0.337629267
12, 1.085622157, 11, 0.707748846, 10, 0.982472597, 11, -0.178558056, 10, 0.966027410, 11, -0.335896072
14, 1.099702395, 13, 0.704011886, 12, 0.978901436, 13, -0.180381316, 12, 0.959309489, 13, -0.333827920
16, 1.113695977, 15, 0.699679083, 14, 0.975293810, 15, -0.182524279, 14, 0.952632931, 15, -0.331429920
18, 1.127591180, 17, 0.694760138, 16, 0.971643324, 17, -0.184988869, 16, 0.946004333, 17, -0.328707701
20, 1.141376490, 19, 0.689265487, 18, 0.967943547, 19, -0.187775942, 18, 0.939430179, 19, -0.325667412
22, 1.155040616, 21, 0.683206294, 20, 0.964188028, 21, -0.190885248, 20, 0.932916831, 21, -0.322315718
24, 1.168572505, 23, 0.676594441, 22, 0.960370323, 23, -0.194315395, 22, 0.926470517, 23, -0.318659794
26, 1.181961355, 25, 0.669442515, 24, 0.956484015, 25, -0.198063825, 24, 0.920097321, 25, -0.314707322
28, 1.195196631, 27, 0.661763793, 26, 0.952522739, 27, -0.202126786, 26, 0.913803175, 27, -0.310466484
30, 1.208268076, 29, 0.653572227, 28, 0.948480203, 29, -0.206499312, 28, 0.907593845, 29, -0.305945954
32, 1.221165724, 31, 0.644882421, 30, 0.944350217, 31, -0.211175208, 30, 0.901474926, 31, -0.301154888
34, 1.233879916, 33, 0.635709611, 32, 0.940126713, 33, -0.216147040, 32, 0.895451828, 33, -0.296102914
36, 1.246401309, 35, 0.626069638, 34, 0.935803772, 35, -0.221406127, 34, 0.889529770, 35, -0.290800120
38, 1.258720887, 37, 0.615978921, 36, 0.931375649, 37, -0.226942544, 36, 0.883713768, 37, -0.285257039
40, 1.270829976, 39, 0.605454427, 38, 0.926836798, 39, -0.232745126, 38, 0.878008627, 39, -0.279484635
42, 1.282720249, 41, 0.594513636, 40, 0.922181895, 41, -0.238801479, 40, 0.872418934, 41, -0.273494286
44, 1.294383739, 43, 0.583174507, 42, 0.917405865, 43, -0.245097999, 42, 0.866949048, 43, -0.267297765
46, 1.305812848, 45, 0.571455437, 44, 0.912503905, 45, -0.251619891, 44, 0.861603093, 45, -0.260907223
48, 1.317000352, 47, 0.559375223, 46, 0.907471507, 47, -0.258351202, 46, 0.856384949, 47, -0.254335163
50, 1.327939412, 49, 0.546953015, 48, 0.902304483, 49, -0.265274851, 48, 0.851298246, 49, -0.247594421
52, 1.338623577, 51, 0.534208272, 50, 0.896998986, 51, -0.272372671, 50, 0.846346358, 51, -0.240698142
54, 1.349046791, 53, 0.521160713, 52, 0.891551533, 53, -0.279625457, 52, 0.841532395, 53, -0.233659752
56, 1.359203396, 55, 0.507830269, 54, 0.885959024, 55, -0.287013012, 54, 0.836859200, 55, -0.226492932
58, 1.369088137, 57, 0.494237029, 56, 0.880218764, 57, -0.294514209, 56, 0.832329341, 57, -0.219211592
