A.qt, A.q, A.pt, A.p, B.qt, B.q, B.pt, B.p, C.qt, C.q, C.pt, C.p, S1.qt, S1.q, S1.pt, S1.p, S0.qt, S0.q, S0.pt, S0.p
0, 0.000000000, 1, -0.669501668, 0, 1.000000000, 1, 0.985102986, 0, 1.000000000, 1, -0.940839194, 0, 1.000000000, 1, -0.581798587, 0, 0.000000000, 1, 3.443382577
2, -0.013390033, 1, -0.669501668, 2, 1.019702060, 1, 0.985102986, 2, 0.981183216, 1, -0.940839194, 2, 0.988364028, 1, -0.581798587, 2, 0.068867652, 1, 3.443382577
2, -0.013390033, 3, -0.668118625, 4, 1.039379560, 3, 0.983875013, 2, 0.981183216, 3, -0.940914170, 4, 0.976731261, 3, -0.581638352, 4, 0.137715141, 3, 3.442374473
4, -0.026752405, 5, -0.665247199, 6, 1.059006520, 5, 0.981347977, 4, 0.962364933, 5, -0.941061068, 6, 0.965104857, 5, -0.581320187, 6, 0.206523334, 5, 3.440409654
6, -0.040057349, 7, -0.660782565, 8, 1.078555546, 7, 0.977451317, 6, 0.943543712, 7, -0.941276432, 8, 0.953487924, 7, -0.580846630, 8, 0.275273933, 7, 3.437529938
8, -0.053273000, 9, -0.654621413, 10, 1.097997862, 9, 0.972115786, 8, 0.924718183, 9, -0.941556483, 10, 0.941883515, 9, -0.580220450, 10, 0.343949284, 9, 3.433767539
10, -0.066365428, 11, -0.646663039, 12, 1.117303348, 11, 0.965274311, 10, 0.905887053, 11, -0.941897200, 12, 0.930294622, 11, -0.579444644, 12, 0.412532185, 11, 3.429145068
12, -0.079298689, 13, -0.636810532, 14, 1.136440607, 13, 0.956862936, 12, 0.887049109, 13, -0.942294400, 14, 0.918724173, 13, -0.578522434, 14, 0.481005696, 13, 3.423675571
14, -0.092034900, 15, -0.624972050, 16, 1.155377044, 15, 0.946821832, 14, 0.868203221, 15, -0.942743818, 16, 0.907175028, 15, -0.577457265, 16, 0.549352948, 15, 3.417362597
16, -0.104534341, 17, -0.611062165, 18, 1.174078971, 17, 0.935096370, 16, 0.849348345, 17, -0.943241193, 18, 0.895649972, 17, -0.576252799, 18, 0.617556954, 17, 3.410200302
18, -0.116755584, 19, -0.595003276, 20, 1.192511736, 19, 0.921638240, 18, 0.830483521, 19, -0.943782349, 20, 0.884151714, 19, -0.574912915, 20, 0.685600426, 19, 3.402173581
20, -0.128655650, 21, -0.576727057, 22, 1.210639868, 21, 0.906406600, 20, 0.811607874, 21, -0.944363284, 22, 0.872682880, 21, -0.573441705, 22, 0.753465591, 21, 3.393258233
22, -0.140190191, 23, -0.556175936, 24, 1.228427253, 23, 0.889369239, 22, 0.792720608, 23, -0.944980260, 24, 0.861246011, 23, -0.571843472, 24, 0.821134014, 23, 3.383421155
24, -0.151313710, 25, -0.533304569, 26, 1.245837328, 25, 0.870503729, 24, 0.773821003, 25, -0.945629901, 26, 0.849843556, 25, -0.570122726, 26, 0.888586425, 25, 3.372620574
26, -0.161979801, 27, -0.508081288, 28, 1.262833299, 27, 0.849798542, 26, 0.754908405, 27, -0.946309286, 28, 0.838477872, 27, -0.568284181, 28, 0.955802551, 27, 3.360806305
28, -0.172141427, 29, -0.480489489, 30, 1.279378381, 29, 0.827254104, 28, 0.735982219, 29, -0.947016057, 30, 0.827151217, 29, -0.566332754, 30, 1.022760952, 29, 3.347920051
