A.qt, A.q, A.pt, A.p, B.qt, B.q, B.pt, B.p, C.qt, C.q, C.pt, C.p, S1.qt, S1.q, S1.pt, S1.p, S0.qt, S0.q, S0.pt, S0.p
0, 1.000000000, 1, 1.224687095, 0, 1.000000000, 1, 0.786058828, 0, 1.000000000, 1, -1.269946572, 0, 1.000000000, 1, -0.247006598, 0, 1.000000000, 1, 1.473727799
2, 1.024493742, 1, 1.224687095, 2, 1.015721177, 1, 0.786058828, 2, 0.974601069, 1, -1.269946572, 2, 0.995059868, 1, -0.247006598, 2, 1.029474556, 1, 1.473727799
2, 1.024493742, 3, 1.222937081, 2, 1.015721177, 3, 0.784471185, 4, 0.949223604, 3, -1.268873272, 2, 0.995059868, 3, -0.247074625, 2, 1.029474556, 3, 1.473166955
4, 1.048952484, 5, 1.219345669, 4, 1.031410601, 5, 0.781177028, 6, 0.923890538, 5, -1.266653289, 4, 0.990118376, 5, -0.247203234, 4, 1.058937895, 5, 1.471988478
6, 1.073339397, 7, 1.213823100, 6, 1.047034142, 7, 0.776057322, 8, 0.898626487, 7, -1.263202568, 6, 0.985174311, 7, -0.247384604, 6, 1.088377665, 7, 1.470136427
8, 1.097615859, 9, 1.206282492, 8, 1.062555288, 9, 0.768994374, 10, 0.873457950, 9, -1.258426828, 8, 0.980226619, 9, -0.247610590, 8, 1.117780394, 9, 1.467555909
10, 1.121741509, 11, 1.196641216, 10, 1.077935175, 11, 0.759873493, 12, 0.848413508, 11, -1.252222082, 10, 0.975274407, 11, -0.247872772, 10, 1.147131512, 11, 1.464193277
12, 1.145674333, 13, 1.184822382, 12, 1.093132645, 13, 0.748584804, 14, 0.823524003, 13, -1.244475232, 12, 0.970316952, 13, -0.248162503, 12, 1.176415378, 13, 1.459996338
14, 1.169370781, 15, 1.170756416, 14, 1.108104341, 15, 0.735025187, 16, 0.798822708, 15, -1.235064735, 14, 0.965353702, 15, -0.248470957, 14, 1.205615305, 15, 1.454914563
16, 1.192785909, 17, 1.154382718, 16, 1.122804845, 17, 0.719100326, 18, 0.774345481, 17, -1.223861359, 16, 0.960384283, 17, -0.248789179, 16, 1.234713596, 17, 1.448899310
18, 1.215873563, 19, 1.135651364, 18, 1.137186852, 19, 0.700726838, 20, 0.750130901, 19, -1.210729021, 18, 0.955408499, 19, -0.249108132, 18, 1.263691582, 19, 1.441904054
20, 1.238586590, 21, 1.114524829, 20, 1.151201389, 21, 0.679834451, 22, 0.726220386, 21, -1.195525729, 20, 0.950426336, 21, -0.249418741, 20, 1.292529663, 21, 1.433884636
22, 1.260877087, 23, 1.090979693, 22, 1.164798078, 23, 0.656368186, 24, 0.702658293, 23, -1.178104634, 22, 0.945437961, 23, -0.249711940, 22, 1.321207356, 23, 1.424799525
24, 1.282696681, 25, 1.065008289, 24, 1.177925442, 25, 0.630290501, 26, 0.679491989, 25, -1.158315202, 24, 0.940443722, 25, -0.249978718, 24, 1.349703346, 25, 1.414610101
26, 1.303996847, 27, 1.036620247, 26, 1.190531252, 27, 0.601583352, 28, 0.656771898, 27, -1.136004528, 26, 0.935444148, 27, -0.250210158, 26, 1.377995548, 27, 1.403280955
28, 1.324729252, 29, 1.005843892, 28, 1.202562919, 29, 0.570250107, 30, 0.634551522, 29, -1.111018794, 28, 0.930439945, 29, -0.250397480, 28, 1.406061167, 29, 1.390780208
30, 1.344846130, 31, 0.972727441, 30, 1.213967921, 31, 0.536317270, 32, 0.612887424, 31, -1.083204891, 30, 0.925431995, 31, -0.250532080, 30, 1.433876771, 31, 1.377079858
32, 1.364300679, 33, 0.937339954, 32, 1.224694266, 33, 0.499835950, 34, 0.591839180, 33, -1.052412220, 32, 0.920421353, 33, -0.250605566, 32, 1.461418368, 33, 1.362156140
