A.qt, A.q, A.pt, A.p, B.qt, B.q, B.pt, B.p, C.qt, C.q, C.pt, C.p, S1.qt, S1.q, S1.pt, S1.p, S0.qt, S0.q, S0.pt, S0.p
0,0,1,0.186755045,0,0,1,1.454591504,0,1,1,0.71674828,0,0,1,-0.080690389,0,0,1,0.755967655
2,0.003735101,1,0.186755045,2,0.02909183,1,1.454591504,2,1.014334966,1,0.71674828,2,-0.001613808,1,-0.080690389,2,0.015119353,1,0.755967655
2,0.003735101,3,0.186046829,2,0.02909183,3,1.453341147,2,1.014334966,3,0.696077129,4,-0.002820794,3,-0.060349312,2,0.015119353,3,0.755373946
4,0.007456038,5,0.184726563,4,0.058158653,5,1.450868859,4,1.028256509,5,0.674783939,6,-0.003614621,5,-0.039691364,4,0.030226832,5,0.754188518
6,0.011150569,7,0.182887914,6,0.08717603,7,1.447204094,6,1.041752188,7,0.652921258,8,-0.003989469,7,-0.018742402,6,0.045310602,7,0.752414213
8,0.014808327,9,0.180621574,8,0.116120112,9,1.44237711,8,1.054810613,9,0.630544818,10,-0.003940067,9,0.002470113,8,0.060358886,9,0.750054748
10,0.018420758,11,0.178014855,10,0.144967654,11,1.436418783,10,1.067421509,11,0.607713227,12,-0.003461723,11,0.023917185,10,0.075359981,11,0.747114735
12,0.021981055,13,0.17515134,12,0.17369603,13,1.429360443,12,1.079575774,13,0.584487609,14,-0.002550356,13,0.045568361,12,0.090302276,13,0.743599701
14,0.025484082,15,0.172110602,14,0.202283239,15,1.421233743,14,1.091265526,15,0.560931192,16,-0.00120252,15,0.067391825,14,0.10517427,15,0.739516108
16,0.028926294,17,0.168967968,16,0.230707914,17,1.412070553,16,1.10248415,17,0.537108851,18,0.00058457,17,0.089354504,16,0.119964592,17,0.734871367
18,0.032305653,19,0.165794341,18,0.258949325,19,1.401902868,18,1.113226327,19,0.513086609,20,0.002813014,19,0.111422188,18,0.134662019,19,0.729673856
20,0.03562154,21,0.16265606,20,0.286987382,21,1.390762745,20,1.123488059,21,0.488931097,22,0.005484207,21,0.133559658,20,0.149255496,21,0.72393293
22,0.038874661,23,0.159614804,22,0.314802637,23,1.378682249,22,1.133266681,23,0.46470899,24,0.008598823,23,0.155730825,22,0.163734155,23,0.717658935
24,0.042066957,25,0.15672753,24,0.342376282,25,1.365693417,24,1.142560861,25,0.440486416,26,0.012156801,25,0.177898877,24,0.178087334,25,0.710863213
26,0.045201508,27,0.154046443,26,0.36969015,27,1.35182823,26,1.151370589,27,0.416328355,28,0.01615733,27,0.200026436,26,0.192304598,27,0.703558109
28,0.048282437,29,0.151618995,28,0.396726715,29,1.337118599,28,1.159697156,29,0.392298028,30,0.020598844,29,0.222075715,28,0.20637576,29,0.695756972
30,0.051314817,31,0.149487908,30,0.423469087,31,1.321596353,30,1.167543117,31,0.368456295,32,0.025479018,31,0.244008682,30,0.220290899,31,0.687474153
32,0.054304575,33,0.147691218,32,0.449901014,33,1.305293236,32,1.174912243,33,0.344861063,34,0.030794762,33,0.265787225,32,0.234040382,33,0.678725
34,0.057258399,35,0.146262335,34,0.476006879,35,1.288240904,34,1.181809464,35,0.321566716,36,0.036542228,35,0.287373319,34,0.247614882,35,0.669525848
36,0.060183646,37,0.145230127,36,0.501771697,37,1.270470927,36,1.188240798,37,0.29862358,38,0.042716812,37,0.30872919,36,0.261005399,37,0.659894008
38,0.063088249,39,0.144619008,38,0.527181116,39,1.252014789,38,1.19421327,39,0.276077424,40,0.049313162,39,0.329817477,38,0.274203279,39,0.649847746
40,0.065980629,41,0.144449047,40,0.552221412,41,1.232903886,40,1.199734818,41,0.253969009,42,0.05632519,41,0.350601392,40,0.287200234,41,0.639406264
42,0.06886961,43,0.144736083,42,0.57687949,43,1.213169526,42,1.204814198,43,0.232333697,44,0.063746087,43,0.37104487,42,0.299988359,43,0.62858967
44,0.071764332,45,0.145491849,44,0.601142881,45,1.192842924,44,1.209460872,45,0.211201115,46,0.071568341,45,0.391112717,44,0.312560152,45,0.61741895
46,0.074674169,47,0.146724107,46,0.624999739,47,1.17195519,46,1.213684894,47,0.190594888,48,0.079783756,47,0.410770747,46,0.324908531,47,0.605915929
48,0.077608651,49,0.14843679,48,0.648438843,49,1.150537319,48,1.217496792,49,0.170532443,50,0.088383474,49,0.429985915,48,0.33702685,49,0.594103235
50,0.080577387,51,0.150630149,50,0.671449589,51,1.128620174,50,1.220907441,51,0.151024886,52,0.097358003,51,0.448726434,50,0.348908915,51,0.582004248
52,0.08358999,53,0.153300909,52,0.694021992,53,1.106234461,52,1.223927939,53,0.132076954,54,0.106697241,53,0.46696189,52,0.360549,53,0.569643056
54,0.086656008,55,0.156442429,54,0.716146681,55,1.083410704,54,1.226569478,55,0.113687039,56,0.116390508,55,0.484663341,54,0.371941861,55,0.557044397
56,0.089784857,57,0.160044868,56,0.737814895,57,1.060179211,56,1.228843219,57,0.095847293,58,0.126426576,57,0.501803409,56,0.383082749,57,0.544233604
58,0.092985754,59,0.164095359,58,0.759018479,59,1.036570039,58,1.230760165,59,0.078543801,60,0.136793703,59,0.51835636,58,0.393967421,59,0.531236539
60,0.096267661,61,0.168578185,60,0.77974988,61,1.012612949,60,1.232331041,61,0.061756826,62,0.147479667,61,0.534298177,60,0.404592152,61,0.51807953
62,0.099639225,63,0.173474961,62,0.800002139,63,0.988337361,62,1.233566178,63,0.04546112,64,0.158471799,63,0.549606618,62,0.414953743,63,0.5047893
64,0.103108724,65,0.178764823,64,0.819768886,65,0.963772305,64,1.2344754,65,0.029626299,66,0.169757024,65,0.564261268,64,0.425049529,65,0.491392896
66,0.10668402,67,0.184424619,66,0.839044332,67,0.938946365,66,1.235067926,67,0.014217271,68,0.181321896,67,0.578243583,66,0.434877387,67,0.477917612
68,0.110372512,69,0.190429106,68,0.857823259,69,0.913887624,68,1.235352271,69,-0.000805281,70,0.193152634,69,0.591536919,68,0.444435739,69,0.46439091
70,0.114181094,71,0.196751152,70,0.876101011,71,0.888623603,70,1.235336165,71,-0.015484375,72,0.205235165,71,0.604126562,70,0.453723557,71,0.450840343
72,0.118116117,73,0.203361938,72,0.893873483,73,0.863181202,72,1.235026477,73,-0.029866166,74,0.21755516,73,0.615999741,72,0.462740364,73,0.43729347
74,0.122183356,75,0.210231168,74,0.911137107,75,0.837586639,74,1.234429154,75,-0.04399935,76,0.230098073,75,0.627145642,74,0.471486233,75,0.423777777
76,0.126387979,77,0.217327281,76,0.92788884,77,0.811865387,76,1.233549167,77,-0.057934546,78,0.242849181,77,0.637555407,76,0.479961789,77,0.410320589
78,0.130734525,79,0.224617661,78,0.944126148,79,0.786042116,78,1.232390476,79,-0.071723661,80,0.255793624,79,0.647222134,78,0.488168201,79,0.396948991
80,0.135226878,81,0.232068852,80,0.95984699,81,0.760140632,80,1.230956003,81,-0.085419245,82,0.268916441,81,0.656140868,80,0.496107181,81,0.383689741
82,0.139868255,83,0.239646774,82,0.975049803,83,0.734183822,82,1.229247618,83,-0.099073844,84,0.282202613,83,0.664308586,82,0.503780976,83,0.370569191
84,0.14466119,85,0.247316936,84,0.989733479,85,0.708193604,84,1.227266141,85,-0.112739357,86,0.295637097,85,0.671724179,84,0.51119236,85,0.3576132
86,0.149607529,87,0.25504465,86,1.003897351,87,0.682190874,86,1.225011354,87,-0.126466408,88,0.309204865,87,0.678388424,86,0.518344624,87,0.344847061
88,0.154708422,89,0.262795243,88,1.017541168,89,0.656195466,88,1.222482026,89,-0.140303732,90,0.322890944,89,0.684303957,88,0.525241565,89,0.332295419
90,0.159964327,91,0.270534261,90,1.030665077,91,0.630226116,90,1.219675951,91,-0.154297589,92,0.336680449,91,0.68947524,90,0.531887473,91,0.319982196
92,0.165375012,93,0.278227675,92,1.043269599,93,0.604300427,92,1.216589999,93,-0.168491208,94,0.350558619,93,0.693908518,92,0.538287117,93,0.307930522
94,0.170939566,95,0.285842076,94,1.055355608,95,0.578434849,94,1.213220175,95,-0.182924268,96,0.364510855,95,0.697611776,94,0.544445727,95,0.296162665
96,0.176656408,97,0.293344867,96,1.066924305,97,0.552644661,96,1.20956169,97,-0.197632422,98,0.378522749,97,0.700594693,96,0.55036898,97,0.284699964
98,0.182523305,99,0.300704442,98,1.077977198,99,0.526943963,98,1.205609042,99,-0.212646867,100,0.392580121,99,0.702868582,98,0.556062979,99,0.273562772
100,0.188537394,101,0.307890363,100,1.088516077,101,0.501345675,100,1.201356105,101,-0.227993968,102,0.406669048,101,0.704446334,100,0.561534234,101,0.262770398
102,0.194695201,103,0.314873519,102,1.098542991,103,0.475861546,102,1.196796226,103,-0.243694934,104,0.420775895,103,0.705342351,102,0.566789642,103,0.252341055
104,0.200992671,105,0.32162628,104,1.108060222,105,0.450502172,104,1.191922327,105,-0.259765558,106,0.434887345,105,0.705572477,104,0.571836463,105,0.242291813
106,0.207425197,107,0.328122636,106,1.117070265,107,0.425277018,106,1.186727016,107,-0.276216013,108,0.448990423,107,0.705153917,106,0.576682299,107,0.232638559
108,0.21398765,109,0.334338321,108,1.125575805,109,0.400194454,108,1.181202696,109,-0.293050717,110,0.463072526,109,0.704105159,108,0.58133507,109,0.22339596
110,0.220674416,111,0.340250928,110,1.133579694,111,0.375261793,110,1.175341682,111,-0.310268257,112,0.477121444,111,0.702445882,110,0.585802989,111,0.21457743
112,0.227479435,113,0.345840007,112,1.14108493,113,0.350485342,112,1.169136317,113,-0.327861386,114,0.491125381,113,0.700196865,112,0.590094538,113,0.206195107
114,0.234396235,115,0.351087147,114,1.148094637,115,0.325870455,114,1.162579089,115,-0.345817075,116,0.505072979,115,0.697379884,114,0.59421844,115,0.198259831
116,0.241417978,117,0.355976045,116,1.154612046,117,0.301421597,116,1.155662747,117,-0.364116637,118,0.518953331,117,0.694017608,116,0.598183637,117,0.19078113
118,0.248537499,119,0.360492559,118,1.160640478,119,0.277142409,118,1.148380414,119,-0.382735906,120,0.532756001,119,0.69013349,118,0.60199926,119,0.18376721
120,0.25574735,121,0.364624743,120,1.166183326,121,0.25303578,120,1.140725696,121,-0.401645479,122,0.546471034,121,0.685751652,120,0.605674604,121,0.177224951
122,0.263039845,123,0.36836287,122,1.171244042,123,0.229103924,122,1.132692786,123,-0.42081101,124,0.560088969,123,0.680896764,122,0.609219103,123,0.171159909
124,0.270407102,125,0.371699437,124,1.17582612,125,0.205348459,124,1.124276566,125,-0.440193555,126,0.573600848,125,0.675593926,124,0.612642301,125,0.16557632
126,0.277841091,127,0.374629156,126,1.179933089,127,0.181770488,126,1.115472695,127,-0.459749958,128,0.586998219,127,0.669868542,126,0.615953827,127,0.160477113
128,0.285333674,129,0.377148932,128,1.183568499,129,0.158370679,128,1.106277696,129,-0.479433285,130,0.600273143,129,0.663746192,128,0.619163369,129,0.155863925
130,0.292876653,131,0.379257823,130,1.186735913,131,0.135149353,130,1.09668903,131,-0.49919328,132,0.613418193,131,0.657252508,130,0.622280647,131,0.151737123
132,0.300461809,133,0.380956989,132,1.1894389,133,0.112106563,132,1.086705164,133,-0.518976853,134,0.626426454,133,0.650413047,132,0.625315389,133,0.148095826
134,0.308080949,135,0.382249627,134,1.191681031,135,0.089242177,134,1.076325627,135,-0.538728588,136,0.639291517,135,0.643253164,134,0.628277306,135,0.144937934
136,0.315725942,137,0.383140896,136,1.193465875,137,0.066555954,136,1.065551055,137,-0.558391256,138,0.652007475,137,0.635797892,136,0.631176065,137,0.142260163
138,0.32338876,139,0.383637831,138,1.194796994,139,0.044047626,138,1.05438323,139,-0.577906341,140,0.664568911,139,0.628071818,138,0.634021268,139,0.140058078
140,0.331061517,141,0.383749243,140,1.195677947,141,0.021716966,140,1.042825103,141,-0.597214556,142,0.67697089,141,0.62009897,140,0.63682243,141,0.138326134
142,0.338736502,143,0.383485615,142,1.196112286,143,-0.000436141,142,1.030880812,143,-0.616256355,144,0.689208944,143,0.611902709,142,0.639588953,143,0.137057717
144,0.346406214,145,0.382858988,144,1.196103563,145,-0.022411634,144,1.018555685,145,-0.634972427,146,0.701279056,145,0.60350562,144,0.642330107,145,0.136245188
146,0.354063394,147,0.381882838,146,1.19565533,147,-0.044209217,146,1.005856236,147,-0.653304168,148,0.713177644,147,0.59492942,146,0.645055011,147,0.135879931
148,0.361701051,149,0.380571951,148,1.194771146,149,-0.065828307,148,0.992790153,149,-0.671194127,150,0.724901541,149,0.586194865,148,0.64777261,149,0.135952402
150,0.36931249,151,0.378942291,150,1.19345458,151,-0.087267983,150,0.97936627,151,-0.688586421,152,0.736447974,151,0.577321672,150,0.650491658,151,0.136452179
152,0.376891336,153,0.377010865,152,1.19170922,153,-0.108526945,152,0.965594542,153,-0.705427113,154,0.747814543,153,0.568328447,152,0.653220702,153,0.137368015
154,0.384431553,155,0.374795585,154,1.189538681,155,-0.12960348,154,0.951486,155,-0.721664553,156,0.758999195,155,0.559232623,154,0.655968062,155,0.13868789
156,0.391927465,157,0.37231513,156,1.186946611,157,-0.150495429,156,0.937052709,157,-0.737249678,158,0.770000203,157,0.550050407,156,0.65874182,157,0.140399065
158,0.399373768,159,0.369588806,158,1.183936702,159,-0.171200165,158,0.922307715,159,-0.752136268,160,0.780816138,159,0.540796739,158,0.661549801,159,0.142488137
160,0.406765544,161,0.366636406,160,1.180512699,161,-0.191714572,160,0.90726499,161,-0.766281159,162,0.791445843,161,0.531485261,160,0.664399564,161,0.144941095
162,0.414098272,163,0.363478072,162,1.176678408,163,-0.212035035,162,0.891939367,163,-0.779644414,164,0.801888409,163,0.522128295,162,0.667298386,163,0.147743373
164,0.421367833,165,0.360134161,164,1.172437707,165,-0.232157432,164,0.876346479,165,-0.792189452,166,0.812143146,165,0.512736829,164,0.670253253,165,0.150879906
166,0.428570516,167,0.356625112,166,1.167794558,167,-0.252077129,166,0.86050269,167,-0.803883134,168,0.822209556,167,0.503320518,166,0.673270851,167,0.154335185
168,0.435703018,169,0.352971315,168,1.162753015,169,-0.271788986,168,0.844425027,169,-0.814695809,170,0.83208731,169,0.493887691,168,0.676357555,169,0.158093309
170,0.442762444,171,0.349192988,170,1.157317235,171,-0.291287363,170,0.828131111,171,-0.824601326,172,0.841776217,171,0.484445366,170,0.679519421,171,0.162138039
172,0.449746304,173,0.345310058,172,1.151491488,173,-0.310566128,172,0.811639084,173,-0.833577007,174,0.851276203,173,0.474999277,172,0.682762182,173,0.166452851
174,0.456652505,175,0.341342045,174,1.145280165,175,-0.329618675,174,0.794967544,175,-0.841603596,176,0.860587281,175,0.465553906,174,0.686091239,175,0.171020986
176,0.463479346,177,0.337307954,176,1.138687791,177,-0.34843794,176,0.778135472,177,-0.84866517,178,0.869709531,177,0.456112521,176,0.689511659,177,0.1758255
178,0.470225505,179,0.333226173,178,1.131719032,179,-0.367016422,178,0.761162169,179,-0.854749036,180,0.878643076,179,0.446677227,178,0.693028169,179,0.180849313
180,0.476890028,181,0.329114377,180,1.124378704,181,-0.385346204,180,0.744067188,181,-0.859845598,182,0.887388056,181,0.437249015,180,0.696645155,181,0.186075254
182,0.483472316,183,0.324989441,182,1.11667178,183,-0.403418979,182,0.726870276,183,-0.863948213,184,0.895944612,183,0.427827823,182,0.70036666,183,0.191486109
184,0.489972105,185,0.320867355,184,1.1086034,185,-0.421226077,184,0.709591312,185,-0.867053029,186,0.904312864,185,0.418412597,184,0.704196382,185,0.197064663
186,0.496389452,187,0.316763151,186,1.100178878,187,-0.438758493,186,0.692250251,187,-0.869158814,188,0.912492891,187,0.409001358,186,0.708137675,187,0.202793741
188,0.502724715,189,0.312690835,188,1.091403708,189,-0.456006912,188,0.674867075,189,-0.870266777,190,0.920484716,189,0.399591271,188,0.71219355,189,0.208656251
190,0.508978532,191,0.308663329,190,1.08228357,191,-0.472961741,190,0.657461739,191,-0.870380382,192,0.92828829,191,0.390178718,190,0.716366675,191,0.214635219
192,0.515151799,193,0.304692413,192,1.072824335,193,-0.48961314,192,0.640054131,193,-0.869505166,194,0.935903477,193,0.380759374,192,0.720659379,193,0.220713828
194,0.521245647,195,0.300788682,194,1.063032072,195,-0.505951046,194,0.622664028,195,-0.867648553,196,0.943330043,195,0.37132828,194,0.725073656,195,0.226875452
196,0.527261421,197,0.296961508,196,1.052913051,197,-0.521965208,196,0.605311057,197,-0.864819669,198,0.950567641,197,0.361879922,196,0.729611165,197,0.233103687
198,0.533200651,199,0.293219005,198,1.042473747,199,-0.537645213,198,0.588014664,199,-0.861029167,200,0.957615807,199,0.352408306,198,0.734273239,199,0.239382385
200,0.539065031,201,0.289568004,200,1.031720843,201,-0.552980515,200,0.570794081,201,-0.856289058,202,0.964473948,201,0.342907037,200,0.739060887,201,0.245695679
202,0.544856391,203,0.286014036,202,1.020661233,203,-0.567960463,202,0.5536683,203,-0.850612544,204,0.971141336,203,0.333369393,202,0.743974801,203,0.252028013
204,0.550576672,205,0.282561315,204,1.009302024,205,-0.582574328,204,0.536656049,205,-0.844013866,206,0.977617104,205,0.323788403,204,0.749015361,205,0.258364167
206,0.556227898,207,0.279212736,206,0.997650537,207,-0.59681133,206,0.519775772,207,-0.836508163,208,0.983900242,207,0.314156918,206,0.754182644,207,0.26468928
