A.qt, A.q, A.pt, A.p, B.qt, B.q, B.pt, B.p, S1.qt, S1.q, S1.pt, S1.p, S0.qt, S0.q, S0.pt, S0.q
0, 1.000000000, 1, 0.806359417, 0, 1.000000000, 1, 1.178105046, 0, 0.000000000, 1, 1.113948901, 0, 0.000000000, 1, -0.070447771
2, 1.016127188, 1, 0.806359417, 2, 1.023562101, 1, 1.178105046, 2, 0.022278978, 1, 1.113948901, 2, -0.001408955, 1, -0.070447771
4, 1.031795245, 3, 0.783402835, 2, 1.023562101, 3, 1.155173287, 2, 0.022278978, 3, 1.112694336, 2, -0.001408955, 3, -0.049618206
6, 1.046942355, 5, 0.757355502, 4, 1.046665567, 5, 1.129225367, 4, 0.044532865, 5, 1.110175113, 4, -0.002401319, 5, -0.027971289
8, 1.061504369, 7, 0.728100716, 6, 1.069250074, 7, 1.100194223, 6, 0.066736367, 7, 1.106386507, 6, -0.002960745, 7, -0.005523210
10, 1.075415213, 9, 0.695542181, 8, 1.091253958, 9, 1.068032629, 8, 0.088864097, 9, 1.101329558, 8, -0.003071209, 9, 0.017705631
12, 1.088607351, 11, 0.659606892, 10, 1.112614611, 11, 1.032715633, 10, 0.110890688, 11, 1.095011434, 10, -0.002717096, 11, 0.041690427
14, 1.101012309, 13, 0.620247894, 12, 1.133268924, 13, 0.994242843, 12, 0.132790917, 13, 1.087445746, 12, -0.001883287, 13, 0.066401790
16, 1.112561246, 15, 0.577446842, 14, 1.153153781, 15, 0.952640508, 14, 0.154539832, 15, 1.078652811, 14, -0.000555251, 15, 0.091805625
18, 1.123185571, 17, 0.531216268, 16, 1.172206591, 17, 0.907963298, 16, 0.176112888, 17, 1.068659845, 16, 0.001280861, 17, 0.117863040
20, 1.132817601, 19, 0.481601487, 18, 1.190365857, 19, 0.860295724, 18, 0.197486085, 19, 1.057501082, 18, 0.003638122, 19, 0.144530313
22, 1.141391242, 21, 0.428682050, 20, 1.207571771, 21, 0.809753107, 20, 0.218636107, 21, 1.045217805, 20, 0.006528728, 21, 0.171758910
24, 1.148842695, 23, 0.372572673, 22, 1.223766833, 23, 0.756482038, 22, 0.239540463, 23, 1.031858287, 22, 0.009963906, 23, 0.199495567
26, 1.155111167, 25, 0.313423577, 24, 1.238896474, 25, 0.700660265, 24, 0.260177629, 25, 1.017477631, 24, 0.013953817, 25, 0.227682434
28, 1.160139571, 27, 0.251420190, 26, 1.252909679, 27, 0.642495969, 26, 0.280527182, 27, 1.002137506, 26, 0.018507466, 27, 0.256257284
30, 1.163875214, 29, 0.186782170, 28, 1.265759598, 29, 0.582226389, 28, 0.300569932, 29, 0.985905779, 28, 0.023632612, 29, 0.285153788
32, 1.166270449, 31, 0.119761738, 30, 1.277404126, 31, 0.520115803, 30, 0.320288048, 31, 0.968856045, 30, 0.029335688, 31, 0.314301854
34, 1.167283276, 33, 0.050641328, 32, 1.287806442, 33, 0.456452864, 32, 0.339665169, 33, 0.951067056, 32, 0.035621725, 33, 0.343628031
36, 1.166877888, 35, -0.020269423, 34, 1.296935499, 35, 0.391547336, 34, 0.358686510, 35, 0.932622057, 34, 0.042494286, 35, 0.373055968
38, 1.165025142, 37, -0.092637283, 36, 1.304766446, 37, 0.325726285, 36, 0.377338951, 37, 0.913608040, 36, 0.049955405, 37, 0.402506922
40, 1.161702951, 39, -0.166109567, 38, 1.311280972, 39, 0.259329802, 38, 0.395611112, 39, 0.894114928, 38, 0.058005543, 39, 0.431900317
42, 1.156896577, 41, -0.240318710, 40, 1.316467568, 41, 0.192706365, 40, 0.413493411, 41, 0.874234700, 40, 0.066643549, 41, 0.461154331
44, 1.150598834, 43, -0.314887164, 42, 1.320321695, 43, 0.126207946, 42, 0.430978105, 43, 0.854060477, 42, 0.075866636, 43, 0.490186511
46, 1.142810184, 45, -0.389432497, 44, 1.322845854, 45, 0.060184994, 44, 0.448059315, 45, 0.833685589, 44, 0.085670366, 45, 0.518914402
48, 1.133538733, 47, -0.463572558, 46, 1.324049554, 47, -0.005018573, 46, 0.464733027, 47, 0.813202631, 46, 0.096048654, 47, 0.547256175
50, 1.122800121, 49, -0.536930585, 48, 1.323949183, 49, -0.069070240, 48, 0.480997080, 49, 0.792702541, 48, 0.106993778, 49, 0.575131253
52, 1.110617319, 51, -0.609140114, 50, 1.322567778, 51, -0.131653500, 50, 0.496851131, 51, 0.772273706, 50, 0.118496403, 51, 0.602460910
54, 1.097020327, 53, -0.679849583, 52, 1.319934708, 53, -0.192472072, 52, 0.512296605, 53, 0.752001121, 52, 0.130545621, 53, 0.629168845
56, 1.082045797, 55, -0.748726512, 54, 1.316085267, 55, -0.251253636, 54, 0.527336627, 55, 0.731965609, 54, 0.143128998, 55, 0.655181711
58, 1.065736573, 57, -0.815461179, 56, 1.311060194, 57, -0.307752994, 56, 0.541975939, 57, 0.712243123, 56, 0.156232632, 57, 0.680429602
60, 1.048141179, 59, -0.879769720, 58, 1.304905134, 59, -0.361754601, 58, 0.556220801, 59, 0.692904136, 58, 0.169841224, 59, 0.704846480
62, 1.029313247, 61, -0.941396603, 60, 1.297670042, 61, -0.413074424, 60, 0.570078884, 61, 0.674013126, 60, 0.183938154, 61, 0.728370545
64, 1.009310918, 63, -1.000116458, 62, 1.289408554, 63, -0.461561112, 62, 0.583559147, 63, 0.655628167, 62, 0.198505565, 63, 0.750944540
66, 0.988196213, 65, -1.055735255, 64, 1.280177332, 65, -0.507096488, 64, 0.596671710, 65, 0.637800619, 64, 0.213524456, 65, 0.772515990
68, 0.966034396, 67, -1.108090849, 66, 1.270035402, 67, -0.549595386, 66, 0.609427722, 67, 0.620574930, 66, 0.228974776, 67, 0.793037378
70, 0.942893337, 69, -1.157052934, 68, 1.259043494, 69, -0.589004884, 68, 0.621839221, 69, 0.603988531, 68, 0.244835524, 69, 0.812466254
72, 0.918842888, 71, -1.202522444, 70, 1.247263396, 71, -0.625302985, 70, 0.633918992, 71, 0.588071832, 70, 0.261084849, 71, 0.830765284
74, 0.893954278, 73, -1.244430477, 72, 1.234757336, 73, -0.658496832, 72, 0.645680429, 73, 0.572848308, 72, 0.277700155, 73, 0.847902241
76, 0.868299542, 75, -1.282736801, 74, 1.221587399, 75, -0.688620522, 74, 0.657137395, 75, 0.558334662, 74, 0.294658200, 75, 0.863849943
78, 0.841950981, 77, -1.317428028, 76, 1.207814989, 77, -0.715732610, 76, 0.668304088, 77, 0.544541063, 76, 0.311935199, 77, 0.878586143
80, 0.814980671, 79, -1.348515516, 78, 1.193500337, 79, -0.739913389, 78, 0.679194909, 79, 0.531471440, 78, 0.329506922, 79, 0.892093380
82, 0.787460009, 81, -1.376033091, 80, 1.178702069, 81, -0.761262020, 80, 0.689824338, 81, 0.519123832, 80, 0.347348790, 81, 0.904358792
84, 0.759459316, 83, -1.400034646, 82, 1.163476829, 83, -0.779893594, 82, 0.700206815, 83, 0.507490774, 82, 0.365435966, 83, 0.915373902
86, 0.731047482, 85, -1.420591690, 84, 1.147878957, 85, -0.795936191, 84, 0.710356630, 85, 0.496559712, 84, 0.383743444, 85, 0.925134380
88, 0.702291664, 87, -1.437790896, 86, 1.131960233, 87, -0.809528004, 86, 0.720287824, 87, 0.486313443, 86, 0.402246132, 87, 0.933639791
90, 0.673257030, 89, -1.451731705, 88, 1.115769673, 89, -0.820814571, 88, 0.730014093, 89, 0.476730558, 88, 0.420918928, 89, 0.940893327
92, 0.644006550, 91, -1.462524020, 90, 1.099353382, 91, -0.829946161, 90, 0.739548704, 91, 0.467785896, 90, 0.439736795, 91, 0.946901539
94, 0.614600829, 93, -1.470286030, 92, 1.082754459, 93, -0.837075348, 92, 0.748904422, 93, 0.459450989, 92, 0.458674826, 93, 0.951674062
96, 0.585097985, 95, -1.475142177, 94, 1.066012952, 95, -0.842354800, 94, 0.758093442, 95, 0.451694498, 94, 0.477708307, 95, 0.955223345
98, 0.555553559, 97, -1.477221295, 96, 1.049165856, 97, -0.845935286, 96, 0.767127332, 97, 0.444482635, 96, 0.496812774, 97, 0.957564386
100, 0.526020461, 99, -1.476654922, 98, 1.032247150, 99, -0.847963924, 98, 0.776016985, 99, 0.437779566, 98, 0.515964062, 99, 0.958714476
